sample,fastq_1,fastq_2,single_end,platform
T100-11-B_G230324,/Users/ayorindeafolayan/Documents/code/nextflow_code/tracs/test-datasets/T100-11-B_G230324.fastq.gz,,true,nanopore
T101-12-A_G230332,/Users/ayorindeafolayan/Documents/code/nextflow_code/tracs/test-datasets/T101-12-A_G230332.fastq.gz,,true,nanopore
